state,year,tempf,tempc
Arizona,1916,58.78333333,14.87962963
Arizona,1917,58.65833333,14.81018519
Arizona,1918,58.81666667,14.89814815
Arizona,1919,58.08333333,14.49074074
Arizona,1920,57.79166667,14.3287037
Arizona,1921,59.925,15.51388889
Arizona,1922,58.625,14.79166667
Arizona,1923,57.85833333,14.36574074
Arizona,1924,58.61666667,14.78703704
Arizona,1925,59.1,15.05555556
Arizona,1926,59.60833333,15.33796296
Arizona,1927,59.53333333,15.2962963
Arizona,1928,59.63333333,15.35185185
Arizona,1929,58.53333333,14.74074074
Arizona,1930,58.53333333,14.74074074
Arizona,1931,59.21666667,15.12037037
Arizona,1932,58.38333333,14.65740741
Arizona,1933,58.75,14.86111111
Arizona,1934,61.73333333,16.51851852
Arizona,1935,59,15
Arizona,1936,60.30833333,15.72685185
Arizona,1937,59.125,15.06944444
Arizona,1938,59.30833333,15.1712963
Arizona,1939,59.64166667,15.35648148
Arizona,1940,60.85,16.02777778
Arizona,1941,58.16666667,14.53703704
Arizona,1942,59.175,15.09722222
Arizona,1943,60.48333333,15.82407407
Arizona,1944,57.99166667,14.43981481
Arizona,1945,58.51666667,14.73148148
Arizona,1946,59.30833333,15.1712963
Arizona,1947,59.34166667,15.18981481
Arizona,1948,58.55833333,14.75462963
Arizona,1949,58.16666667,14.53703704
Arizona,1950,60.49166667,15.8287037
Arizona,1951,58.85833333,14.9212963
Arizona,1952,58.825,14.90277778
Arizona,1953,59.25,15.13888889
Arizona,1954,60.88333333,16.0462963
Arizona,1955,58.45,14.69444444
Arizona,1956,59.54166667,15.30092593
Arizona,1957,59.54166667,15.30092593
Arizona,1958,60.39166667,15.77314815
Arizona,1959,60.2,15.66666667
Arizona,1960,59.575,15.31944444
Arizona,1961,59.25,15.13888889
Arizona,1962,59.83333333,15.46296296
Arizona,1963,59.79166667,15.43981481
Arizona,1964,57.76666667,14.31481481
Arizona,1965,58.475,14.70833333
Arizona,1966,59.5,15.27777778
Arizona,1967,59,15
Arizona,1968,58.65,14.80555556
Arizona,1969,59.7,15.38888889
Arizona,1970,58.95833333,14.97685185
Arizona,1971,58.21666667,14.56481481
Arizona,1972,59.64166667,15.35648148
Arizona,1973,58.39166667,14.66203704
Arizona,1974,59.48333333,15.26851852
Arizona,1975,57.89166667,14.38425926
Arizona,1976,58.96666667,14.98148148
Arizona,1977,60.20833333,15.6712963
Arizona,1978,59.8,15.44444444
Arizona,1979,58.81666667,14.89814815
Arizona,1980,60.23333333,15.68518519
Arizona,1981,61.325,16.29166667
Arizona,1982,58.74166667,14.85648148
Arizona,1983,59.2,15.11111111
Arizona,1984,59.44166667,15.24537037
Arizona,1985,59.55,15.30555556
Arizona,1986,60.575,15.875
Arizona,1987,59.31666667,15.17592593
Arizona,1988,60.2,15.66666667
Arizona,1989,61.225,16.23611111
Arizona,1990,59.71666667,15.39814815
Arizona,1991,59.25,15.13888889
Arizona,1992,59.59166667,15.3287037
Arizona,1993,59.8,15.44444444
Arizona,1994,60.55,15.86111111
Arizona,1995,61.00833333,16.11574074
Arizona,1996,61.875,16.59722222
Arizona,1997,60.525,15.84722222
Arizona,1998,59.275,15.15277778
Arizona,1999,60.78333333,15.99074074
Arizona,2000,61.675,16.48611111
Arizona,2001,61.2,16.22222222
Arizona,2002,61.175,16.20833333
Arizona,2003,61.9,16.61111111
Arizona,2004,60.40833333,15.78240741
Arizona,2005,61.13333333,16.18518519
Arizona,2006,61.125,16.18055556
Arizona,2007,61.59166667,16.43981481
Arizona,2008,60.61666667,15.89814815
Arizona,2009,61.08333333,16.15740741
Arizona,2010,60.39166667,15.77314815
Arizona,2011,60.33333333,15.74074074
Arizona,2012,62.10833333,16.72685185
Arizona,2013,60.45,15.80555556
Arizona,2014,62.25,16.80555556
Arizona,2015,61.75,16.52777778
Arizona,2016,62.175,16.76388889
Arizona,2017,63.03333333,17.24074074
Arizona,2018,62.26666667,16.81481481
Arizona,2019,60.28333333,15.71296296
Arkansas,1895,58.85833333,14.9212963
Arkansas,1896,62.075,16.70833333
Arkansas,1897,61.3,16.27777778
Arkansas,1898,60.44166667,15.80092593
Arkansas,1899,59.96666667,15.53703704
Arkansas,1900,61.225,16.23611111
Arkansas,1901,60.24166667,15.68981481
Arkansas,1902,59.73333333,15.40740741
Arkansas,1903,58.48333333,14.71296296
Arkansas,1904,59.53333333,15.2962963
Arkansas,1905,58.75,14.86111111
Arkansas,1906,59.51666667,15.28703704
Arkansas,1907,61.10833333,16.1712963
